sample_index,cluster_id,time
0,0,0.0
1,0,0.1
2,0,0.2
3,0,0.3
4,0,0.4
5,0,0.5
6,0,0.6
7,0,0.7
8,0,0.8
9,0,0.9
10,0,1.0
11,0,1.1
12,0,1.2
13,0,1.3
14,0,1.4
15,0,1.5
16,0,1.6
17,0,1.7
18,0,1.8
19,0,1.9
20,0,2.0
21,0,2.1
22,0,2.2
23,0,2.3
24,0,2.4
25,0,2.5
26,0,2.6
27,0,2.7
28,0,2.799999
29,0,2.899999
30,0,2.999999
31,0,3.099999
32,0,3.199999
33,0,3.299999
34,0,3.399999
35,0,3.499999
36,0,3.599999
37,0,3.699999
38,0,3.799999
39,0,3.899998
40,0,3.999998
41,0,4.099998
42,0,4.199998
43,0,4.299998
44,0,4.399998
45,0,4.499998
46,0,4.599998
47,0,4.699998
48,0,4.799998
49,0,4.899998
50,0,4.999998
51,0,5.099998
52,0,5.199997
53,0,5.299997
54,0,5.399997
55,0,5.499997
56,0,5.599997
57,0,5.699997
58,0,5.799997
59,0,5.899997
60,0,5.999997
61,0,6.099997
62,0,6.199996
63,0,6.299996
64,0,6.399996
65,0,6.499996
66,0,6.599996
67,0,6.699996
68,0,6.799996
69,0,6.899996
70,0,6.999996
71,0,7.099996
72,0,7.199996
73,0,7.299995
74,0,7.399995
75,0,7.499995
76,0,7.599995
77,0,7.699995
78,0,7.799995
79,0,7.899995
80,0,7.999995
81,0,8.099995
82,0,8.199995
83,0,8.299995
84,0,8.399996
85,0,8.499996
86,0,8.599997
87,0,8.699997
88,0,8.799997
89,0,8.899998
90,0,8.999998
91,0,9.099998
92,0,9.199999
93,0,9.299999
94,0,9.4
95,0,9.5
96,0,9.6
97,0,9.700001
98,0,9.800001
99,0,9.900002
100,0,10.000002
101,0,10.100002
102,0,10.200003
103,0,10.300003
104,0,10.400003
105,0,10.500004
106,0,10.600004
107,0,10.700005
108,0,10.800005
109,0,10.900005
110,0,11.000006
111,0,11.100006
112,0,11.200006
113,0,11.300007
114,0,11.400007
115,0,11.500008
116,0,11.600008
117,0,11.700008
118,0,11.800009
119,0,11.900009
120,0,12.00001
121,0,12.10001
122,0,12.20001
123,0,12.300011
124,0,12.400011
125,0,12.500011
126,0,12.600012
127,0,12.700012
128,0,12.800013
129,0,12.900013
130,0,13.000013
131,0,13.100014
132,0,13.200014
133,0,13.300014
134,0,13.400015
135,0,13.500015
136,0,13.600016
137,0,13.700016
138,0,13.800016
139,0,13.900017
140,0,14.000017
141,0,14.100018
142,0,14.200018
143,0,14.300018
144,0,14.400019
145,0,14.500019
146,0,14.600019
147,0,14.70002
148,0,14.80002
149,0,14.900021
150,0,15.000021
151,0,15.100021
152,0,15.200022
153,0,15.300022
154,0,15.400023
155,0,15.500023
156,0,15.600023
157,0,15.700024
158,0,15.800024
159,0,15.900024
160,0,16.000025
161,0,16.100025
162,0,16.200026
163,0,16.300026
164,0,16.400026
165,0,16.500027
166,0,16.600027
167,0,16.700027
168,0,16.800028
169,0,16.900028
170,0,17.000029
171,0,17.100029
172,0,17.200029
173,0,17.30003
174,0,17.40003
175,0,17.500031
176,0,17.600031
177,0,17.700031
178,0,17.800032
179,0,17.900032
180,0,18.000032
181,0,18.100033
182,0,18.200033
183,0,18.300034
184,0,18.400034
185,0,18.500034
186,0,18.600035
187,0,18.700035
188,0,18.800035
189,0,18.900036
190,0,19.000036
191,0,19.100037
192,0,19.200037
193,0,19.300037
194,0,19.400038
195,0,19.500038
196,0,19.600039
197,0,19.700039
198,0,19.800039
199,0,19.90004
200,0,20.00004
201,0,20.10004
202,0,20.200041
203,0,20.300041
204,0,20.400042
205,0,20.500042
206,0,20.600042
207,0,20.700043
208,0,20.800043
209,0,20.900043
210,0,21.000044
211,0,21.100044
212,0,21.200045
213,0,21.300045
214,0,21.400045
215,0,21.500046
